"Timestamp","Do you have a mobile device with Internet connection?","Do you use the mobile device for your studies?","What type of mobile device do you own? ","Gender","Academic Major","How often do you use the mobile device for your studies?","What materials do you use for mobile learning? (Select all that apply)","Do you use mobile learning for college studies or self-study?","If you use mobile learning for college preparation, what is the main reason? (Select all that apply)","Where do you typically use your mobile device for your studies? (Select all that apply)","What do you consider as negative features of mobile devices? (Select all that apply)","I find mobile learning resources helpful for my studies.","I feel comfortable using mobile devices for educational purposes.","I believe mobile learning enhances my learning experience.","I prefer mobile learning over traditional classroom methods.","I encounter technical difficulties while using mobile learning platforms.","What is your overall opinion on mobile learning? (Please express your point of view in your own words). [Optional]"
"2024/04/27 10:00:33 PM GMT+5:45","Yes","Yes","Smartphone","Male","Management","More often","Web pages;Applications;LMS courses","Preparation for College","Instead of attending lectures","At home","Social issues (e.g., distraction, addiction)","Agree","Agree","Strongly Agree","Agree","Sometimes",""
"2024/04/28 8:42:01 PM GMT+5:45","Yes","Yes","Smartphone","Male","Other (please specify)","Less than once a week","Web pages;Applications","Self-study","Main source of information","At home;At college;At work","Health issues (e.g., eye strain, posture problems);Social issues (e.g., distraction, addiction)","Neither Agree nor Disagree","Agree","Agree","Neither Agree nor Disagree","Sometimes",""
"2024/04/28 8:44:32 PM GMT+5:45","Yes","Yes","Smartphone","Female","Education","More often","Web pages;Applications;LMS courses;Other (please specify)","Both","Main source of information;Instead of attending lectures;Revision before tests;Information about study results","At home","Hardware limitations (e.g., screen size, touch screen interface, short battery life);Health issues (e.g., eye strain, posture problems);Social issues (e.g., distraction, addiction);Family issues (e.g., conflicts over usage)","Agree","Agree","Agree","Agree","Sometimes","Neutral 
"
"2024/04/28 8:45:10 PM GMT+5:45","Yes","Yes","Smartphone","Male","Education","More often","Web pages;Applications;LMS courses","Both","Main source of information;Instead of attending lectures;Revision before tests","While traveling;At home;At college","Health issues (e.g., eye strain, posture problems);Social issues (e.g., distraction, addiction)","Strongly Agree","Strongly Agree","Strongly Agree","Neither Agree nor Disagree","Often","good internet connection on college, for study material, not to browse social media,"
"2024/04/28 8:45:18 PM GMT+5:45","Yes","Yes","Smartphone","Female","Other (please specify)","More often","Web pages","Both","Main source of information;Information about study results","While traveling;At home;At college","Health issues (e.g., eye strain, posture problems);Social issues (e.g., distraction, addiction)","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Sometimes",""
"2024/04/28 8:46:40 PM GMT+5:45","Yes","Yes","Smartphone","Male","Other (please specify)","More often","Web pages;Other (please specify)","Both","Main source of information;Revision before tests;Information about study results","While traveling;At home;At college;At work;Somewhere else (please specify)","Health issues (e.g., eye strain, posture problems);Social issues (e.g., distraction, addiction)","Agree","Agree","Agree","Agree","Sometimes","I find easy and efficient to use mobile phones for learning. I can learn everywhere like while travelling in bus or sitting in my bed."
"2024/04/28 8:49:11 PM GMT+5:45","Yes","Yes","Smartphone","Male","Other (please specify)","Two to three times a week","Web pages;Applications;LMS courses","Both","Main source of information;Revision before tests;Information about study results","At home","Health issues (e.g., eye strain, posture problems);Social issues (e.g., distraction, addiction)","Agree","Agree","Agree","Neither Agree nor Disagree","Sometimes",""
"2024/04/28 8:51:10 PM GMT+5:45","Yes","Yes","Smartphone","Female","Management","More often","Web pages","Both","Main source of information;Instead of attending lectures;Revision before tests;Information about study results","At college","Hardware limitations (e.g., screen size, touch screen interface, short battery life);Health issues (e.g., eye strain, posture problems);Social issues (e.g., distraction, addiction);Family issues (e.g., conflicts over usage)","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Rarely",""
"2024/04/28 8:54:28 PM GMT+5:45","Yes","Yes","Smartphone","Female","Other (please specify)","Two to three times a week","Web pages;Applications","Both","Main source of information;Information about study results","At home","Hardware limitations (e.g., screen size, touch screen interface, short battery life);Health issues (e.g., eye strain, posture problems);Social issues (e.g., distraction, addiction)","Agree","Strongly Agree","Agree","Agree","Sometimes","Mobile  Learning is the most important  key for students  . By the help of mobile Learning  we will slove  our difficult  problems by ourselves  , "
"2024/04/28 8:54:36 PM GMT+5:45","Yes","Yes","Smartphone","Male","Education","More often","Web pages;Applications;LMS courses;Other (please specify)","Both","Main source of information;Instead of attending lectures;Revision before tests;Information about study results","While traveling;At home;At college;At work;Somewhere else (please specify)","Hardware limitations (e.g., screen size, touch screen interface, short battery life);Health issues (e.g., eye strain, posture problems)","Agree","Agree","Agree","Strongly Agree","Often",""
"2024/04/28 8:55:43 PM GMT+5:45","Yes","Yes","Smartphone","Female","Engineering","More often","Web pages;Applications;LMS courses;Other (please specify)","Both","Revision before tests","While traveling;At home;At college;At work;Somewhere else (please specify)","Social issues (e.g., distraction, addiction);Family issues (e.g., conflicts over usage)","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Sometimes",""
"2024/04/28 8:59:58 PM GMT+5:45","Yes","Yes","Smartphone","Male","Education","More often","Web pages;Applications","Both","Main source of information;Instead of attending lectures","At home","Social issues (e.g., distraction, addiction)","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Rarely","In my opinion, mobile learning helps students in self directed learning and provides all materials useful in studies.However due to social media distraction and addiction most of the students ends up using mobile for eye and ear pleasure which hampers students studies."
"2024/04/28 9:00:24 PM GMT+5:45","Yes","Yes","Smartphone","Male","Other (please specify)","More often","Web pages;Applications","Both","Main source of information;Revision before tests","At home","Health issues (e.g., eye strain, posture problems);Social issues (e.g., distraction, addiction);Family issues (e.g., conflicts over usage)","Agree","Agree","Agree","Neither Agree nor Disagree","Sometimes","Mobile learning enhance the learning process and provides more information about the particular subject. It helps to clearfy the problems and provides better solution of problems. Have wide search engine which can filter from web almost about everything (etc)."
"2024/04/28 9:05:41 PM GMT+5:45","Yes","Yes","Smartphone","Male","Engineering","More often","Web pages;Applications","Both","Main source of information;Revision before tests","While traveling;At home;At college","Hardware limitations (e.g., screen size, touch screen interface, short battery life);Health issues (e.g., eye strain, posture problems);Social issues (e.g., distraction, addiction);Family issues (e.g., conflicts over usage)","Agree","Agree","Agree","Agree","Often",""
"2024/04/28 9:06:13 PM GMT+5:45","Yes","Yes","Smartphone","Male","Education","Two to three times a week","Applications","Both","Revision before tests;Information about study results","While traveling;At home","Health issues (e.g., eye strain, posture problems)","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Sometimes","Mobile learning is revolutionary, accessible, and inclusive, though it faces challenges like distractions and device compatibility"
"2024/04/28 9:09:19 PM GMT+5:45","Yes","Yes","Smartphone","Male","Management","Once a week","Web pages","Preparation for College","Main source of information","At work","Hardware limitations (e.g., screen size, touch screen interface, short battery life)","Neither Agree nor Disagree","Strongly Agree","Strongly Agree","Agree","Sometimes","Very good"
"2024/04/28 9:11:26 PM GMT+5:45","Yes","Yes","Smartphone","Male","Education","Two to three times a week","Web pages;Applications;LMS courses","Preparation for College","Main source of information","At college","Social issues (e.g., distraction, addiction)","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Very Often","Mobile learning offers flexibility and accessibility, enabling learning anytime, anywhere, but its effectiveness depends on content design and learner engagement."
