Do you have a mobile device with Internet connection?,Do you use the mobile device for your studies?,What type of mobile device do you own?,Gender,How often do you use the mobile device for your studies?,Do you use mobile learning for college studies or self-study?,"If you use mobile learning for college preparation, what is the main reason? (Select all that apply)",Where do you typically use your mobile device for your studies? (Select all that apply),What do you consider as negative features of mobile devices? (Select all that apply),I find mobile learning resources helpful for my studies.,I feel comfortable using mobile devices for educational purposes.,I believe mobile learning enhances my learning experience.,I prefer mobile learning over traditional classroom methods.,I encounter technical difficulties while using mobile learning platforms.,Applications,LMS courses,Other (please specify),Web pages
0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-0.23786778986408025,1.307302315565849,0.0768910368203351,1.2333285382339996
0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,-0.423126647924784,0.9048946420674425,0.03892409579478259,-2.21517574298959
0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.5039249441181701,-1.0663345044511745,0.9061104597314872,0.23519789766684784
1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.06678010018072042,2.1514933837171175,-0.45663356873257926,0.5187903506332834
1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.555972555376702,-0.01592134327258393,-1.6893623301557643,-1.4447097008740413
0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.03126309502040109,0.1772325311038177,-0.36113360294559926,-0.2681067322527282
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7589404104588614,0.9919389707402884,-1.0319305400909808,0.21613593428529196
1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.26778111102718793,0.09286617164531781,-0.7265581702441681,-1.2617469269466168
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,-0.5593490393410274,-0.6068982404414776,-1.6659772653716587,0.15294425894344704
1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.09210665029754844,1.0917704329095328,1.6988352652117318,0.5510613826199728
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0647914251863206,-0.6372401126506749,-0.1551289725520116,-1.484967986802922
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,-1.5817722975565938,0.7019804237652146,1.286359812892195,-0.04221287944016546
1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,-0.4786558370926153,0.44624269141872247,0.3926463527827227,2.214249171520435
1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.2351991266589029,2.2835745467367508,1.4886392384379392,-0.7577748544312238
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.8015730186951986,0.49223911623782696,-1.4156549765078748,0.1894789657992839
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.7354772853929266,2.1584537071055157,-1.5869930814807993,-1.2121470493979845
0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.8733454328684555,-1.1381076018720768,-1.251077986692706,0.0027998725046269025
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.44188981442339026,0.8771290996669312,0.08240177440003316,0.7509733039559445
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.237161119237699,0.18338329809331844,-0.1768519023336056,-0.34812971080179134
0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,-1.541747759201413,0.058963762192310275,0.8816892786647447,1.147605796639605
1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.7781072853285772,1.6699283424310738,-0.9082691213380161,-0.16548163323685083
1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.028923663699704078,-1.8909064355294143,-2.08290921284286,0.4907764305216561
